
Status   Name               DisplayName                           
Running  DsSvc              Data Sharing Service                  
Running  DusmSvc            Data Usage                            
Running  Eaphost            Extensible Authentication Protocol    
Stopped  EFS                Encrypting File System (EFS)          
Stopped  embeddedmode       Embedded Mode                         
Stopped  EntAppSvc          Enterprise App Management Service     
Running  esifsvc            Intel(R) Dynamic Platform and Therm...
Running  EventLog           Windows Event Log                     
Running  EventSystem        COM+ Event System                     
Stopped  Fax                Fax                                   
Stopped  fdPHost            Function Discovery Provider Host      
Stopped  FDResPub           Function Discovery Resource Publica...
Stopped  fhsvc              File History Service                  
Running  FontCache          Windows Font Cache Service            
Running  FontCache3.0.0.0   Windows Presentation Foundation Fon...
Running  fpCsEvtSvc         fpCsEvtSvc                            
Stopped  FrameServer        Windows Camera Frame Server           
Stopped  gpsvc              Group Policy Client                   
Stopped  GraphicsPerfSvc    GraphicsPerfSvc                       
Stopped  hidserv            Human Interface Device Service        
Stopped  HomeGroupProvider  HomeGroup Provider                    
Stopped  HvHost             HV Host Service                       
Stopped  iaStorAfsService   Intel(R) Optane(TM) Memory Service    
Running  ibtsiva            Intel Bluetooth Service               
Stopped  icssvc             Windows Mobile Hotspot Service        
Running  igfxCUIService2... Intel(R) HD Graphics Control Panel ...
Running  IKEEXT             IKE and AuthIP IPsec Keying Modules   
Running  InstallService     Windows Store Install Service         
Stopped  IntelAudioService  Intel(R) Audio Service                
Running  iphlpsvc           IP Helper                             
Stopped  IpxlatCfgSvc       IP Translation Configuration Service  
Stopped  irmon              Infrared monitor service              
Running  KeyIso             CNG Key Isolation                     
Stopped  KtmRm              KtmRm for Distributed Transaction C...
Running  LanmanServer       Server                                
Running  LanmanWorkstation  Workstation                           
Running  lfsvc              Geolocation Service                   
Running  LicenseManager     Windows License Manager Service       
Stopped  lltdsvc            Link-Layer Topology Discovery Mapper  
Running  lmhosts            TCP/IP NetBIOS Helper                 
Stopped  lpasvc             Microsoft Policy Platform Local Aut...
Stopped  lppsvc             Microsoft Policy Platform Processor   
Running  LSM                Local Session Manager                 
Stopped  MapsBroker         Downloaded Maps Manager               
Running  MBAMAgent          BitLocker Management Client Service   
Stopped  MessagingServic... MessagingService_182ac3               
Running  MongoDB            MongoDB Server                        
Running  MpsSvc             Windows Defender Firewall             
Stopped  MSDTC              Distributed Transaction Coordinator   
Stopped  MSiSCSI            Microsoft iSCSI Initiator Service     
Stopped  msiserver          Windows Installer                     
Running  nam                Cisco AnyConnect Network Access Man...
Running  namlm              Cisco AnyConnect Network Access Man...
Stopped  NaturalAuthenti... Natural Authentication                
Stopped  NcaSvc             Network Connectivity Assistant        
Running  NcbService         Network Connection Broker             
Stopped  NcdAutoSetup       Network Connected Devices Auto-Setup  
Running  Netlogon           Netlogon                              
Running  Netman             Network Connections                   
Stopped  NetMsmqActivator   Net.Msmq Listener Adapter             
Stopped  NetPipeActivator   Net.Pipe Listener Adapter             
Running  netprofm           Network List Service                  
Stopped  NetSetupSvc        Network Setup Service                 
Running  NetTcpActivator    Net.Tcp Listener Adapter              
Running  NetTcpPortSharing  Net.Tcp Port Sharing Service          
Running  NgcCtnrSvc         Microsoft Passport Container          
Stopped  NgcSvc             Microsoft Passport                    
Running  NlaSvc             Network Location Awareness            
Running  nsi                Network Store Interface Service       
Running  OneSyncSvc_182ac3  Sync Host_182ac3                      
Stopped  ose64              Office 64 Source Engine               
Stopped  p2pimsvc           Peer Networking Identity Manager      
Stopped  p2psvc             Peer Networking Grouping              
Running  PcaSvc             Program Compatibility Assistant Ser...
Stopped  PeerDistSvc        BranchCache                           
Stopped  PerfHost           Performance Counter DLL Host          
Stopped  PhoneSvc           Phone Service                         
Running  PimIndexMainten... Contact Data_182ac3                   
Stopped  pla                Performance Logs & Alerts             
Running  PlugPlay           Plug and Play                         
Stopped  PNRPAutoReg        PNRP Machine Name Publication Service 
Stopped  PNRPsvc            Peer Name Resolution Protocol         
Running  PolicyAgent        IPsec Policy Agent                    
Running  Power              Power                                 
Stopped  PrintNotify        Printer Extensions and Notifications  
Stopped  PrintWorkflowUs... PrintWorkflow_182ac3                  
Running  ProfSvc            User Profile Service                  
Stopped  PushToInstall      Windows PushToInstall Service         
Stopped  QWAVE              Quality Windows Audio Video Experience
Stopped  RasAuto            Remote Access Auto Connection Manager 
Running  RasMan             Remote Access Connection Manager      
Stopped  RemoteAccess       Routing and Remote Access             
Stopped  RemoteRegistry     Remote Registry                       
Stopped  RetailDemo         Retail Demo Service                   
Running  RmSvc              Radio Management Service              
Running  RpcEptMapper       RPC Endpoint Mapper                   
Stopped  RpcLocator         Remote Procedure Call (RPC) Locator   
Running  RpcSs              Remote Procedure Call (RPC)           
Running  S_UpdaterSrv       S_Updater Srv                         
Running  SamSs              Security Accounts Manager             
Running  SapienceAgentSrv   Sapience Agent Service                
Running  SCardSvr           Smart Card                            
Stopped  ScDeviceEnum       Smart Card Device Enumeration Service 
Running  Schedule           Task Scheduler                        
Stopped  SCPolicySvc        Smart Card Removal Policy             
Stopped  SDRSVC             Windows Backup                        
Stopped  seclogon           Secondary Logon                       
Running  SecurityHealthS... Windows Defender Security Center Se...
Stopped  SEMgrSvc           Payments and NFC/SE Manager           
Running  SENS               System Event Notification Service     
Stopped  Sense              Windows Defender Advanced Threat Pr...
Stopped  SensorDataService  Sensor Data Service                   
Stopped  SensorService      Sensor Service                        
Stopped  SensrSvc           Sensor Monitoring Service             
Running  SepMasterService   Symantec Endpoint Protection          
Running  SessionEnv         Remote Desktop Configuration          
Stopped  SharedAccess       Internet Connection Sharing (ICS)     
Stopped  SharedRealitySvc   Spatial Data Service                  
Running  ShellHWDetection   Shell Hardware Detection              
Stopped  shpamsvc           Shared PC Account Manager             
Running  SISIDSService      Symantec Data Center Security Serve...
Running  SISIPSService      Symantec Data Center Security Serve...
Running  SISIPSUtil         Symantec Data Center Security Serve...
Stopped  smphost            Microsoft Storage Spaces SMP          
Stopped  SmsRouter          Microsoft Windows SMS Router Service. 
Stopped  smstsmgr           ConfigMgr Task Sequence Agent         
Stopped  SNAC               Symantec Network Access Control       
Stopped  SNMPTRAP           SNMP Trap                             
Stopped  spectrum           Windows Perception Service            
Running  Spooler            Print Spooler                         
Stopped  sppsvc             Software Protection                   
Running  SSDPSRV            SSDP Discovery                        
Running  SstpSvc            Secure Socket Tunneling Protocol Se...
Running  StateRepository    State Repository Service              
Stopped  stisvc             Windows Image Acquisition (WIA)       
Running  StorSvc            Storage Service                       
Stopped  svsvc              Spot Verifier                         
Stopped  swprv              Microsoft Software Shadow Copy Prov...
Running  SynTPEnhService    SynTPEnh Caller Service               
Running  SysMain            Superfetch                            
Running  SystemEventsBroker System Events Broker                  
Running  TabletInputService Touch Keyboard and Handwriting Pane...
Stopped  TapiSrv            Telephony                             
Running  TDS                TDS                                   
Running  TermService        Remote Desktop Services               
Running  Themes             Themes                                
Stopped  TieringEngineSe... Storage Tiers Management              
Stopped  tiledatamodelsvc   Tile Data model server                
Running  TimeBrokerSvc      Time Broker                           
Running  TokenBroker        Web Account Manager                   
Running  TrkWks             Distributed Link Tracking Client      
Stopped  TrustedInstaller   Windows Modules Installer             
Stopped  tzautoupdate       Auto Time Zone Updater                
Stopped  UevAgentService    User Experience Virtualization Service
Stopped  UI0Detect          Interactive Services Detection        
Running  UmRdpService       Remote Desktop Services UserMode Po...
Running  UnistoreSvc_182ac3 User Data Storage_182ac3              
Stopped  upnphost           UPnP Device Host                      
Running  UserDataSvc_182ac3 User Data Access_182ac3               
Running  UserManager        User Manager                          
Stopped  UsoSvc             Update Orchestrator Service           
Running  valWBFPolicySer... Synaptics FP WBF Policy Service       
Running  VaultSvc           Credential Manager                    
Stopped  vds                Virtual Disk                          
Stopped  vmicguestinterface Hyper-V Guest Service Interface       
Stopped  vmicheartbeat      Hyper-V Heartbeat Service             
Stopped  vmickvpexchange    Hyper-V Data Exchange Service         
Stopped  vmicrdv            Hyper-V Remote Desktop Virtualizati...
Stopped  vmicshutdown       Hyper-V Guest Shutdown Service        
Stopped  vmictimesync       Hyper-V Time Synchronization Service  
Stopped  vmicvmsession      Hyper-V PowerShell Direct Service     
Stopped  vmicvss            Hyper-V Volume Shadow Copy Requestor  
Running  vpnagent           Cisco AnyConnect Secure Mobility Agent
Stopped  VSS                Volume Shadow Copy                    
Running  W32Time            Windows Time                          
Stopped  w3logsvc           W3C Logging Service                   
Running  W3SVC              World Wide Web Publishing Service     
Stopped  WalletService      WalletService                         
Stopped  WarpJITSvc         WarpJITSvc                            
Running  WAS                Windows Process Activation Service    
Stopped  wbengine           Block Level Backup Engine Service     
Stopped  WbioSrvc           Windows Biometric Service             
Running  Wcmsvc             Windows Connection Manager            
Stopped  wcncsvc            Windows Connect Now - Config Registrar
Running  WdiServiceHost     Diagnostic Service Host               
Running  WdiSystemHost      Diagnostic System Host                
Stopped  WdNisSvc           Windows Defender Antivirus Network ...
Stopped  WebClient          WebClient                             
Stopped  Wecsvc             Windows Event Collector               
Stopped  WEPHOSTSVC         Windows Encryption Provider Host Se...
Stopped  wercplsupport      Problem Reports and Solutions Contr...
Stopped  WerSvc             Windows Error Reporting Service       
Stopped  WFDSConMgrSvc      Wi-Fi Direct Services Connection Ma...
Stopped  WiaRpc             Still Image Acquisition Events        
Stopped  WinDefend          Windows Defender Antivirus Service    
Running  WinHttpAutoProx... WinHTTP Web Proxy Auto-Discovery Se...
Running  Winmgmt            Windows Management Instrumentation    
Running  WinRM              Windows Remote Management (WS-Manag...
Stopped  wisvc              Windows Insider Service               
Running  WlanSvc            WLAN AutoConfig                       
Stopped  wlidsvc            Microsoft Account Sign-in Assistant   
Stopped  wlpasvc            Local Profile Assistant Service       
Stopped  wmiApSrv           WMI Performance Adapter               
Stopped  WMPNetworkSvc      Windows Media Player Network Sharin...
Stopped  workfolderssvc     Work Folders                          
Stopped  WPDBusEnum         Portable Device Enumerator Service    
Running  WpnService         Windows Push Notifications System S...
Running  WpnUserService_... Windows Push Notifications User Ser...
Running  wscsvc             Security Center                       
Running  WSDLP              Websense Client Agent                 
Running  WSearch            Windows Search                        
Stopped  WSPXY              Websense SaaS Service                 
Stopped  WSRF               Websense Desktop Client               
Stopped  WSTS               Websense DCEP Service                 
Stopped  wuauserv           Windows Update                        
Stopped  WwanSvc            WWAN AutoConfig                       
Running  xagt               xagt                                  
Stopped  xbgm               Xbox Game Monitoring                  
Stopped  XblAuthManager     Xbox Live Auth Manager                
Stopped  XblGameSave        Xbox Live Game Save                   
Stopped  XboxGipSvc         Xbox Accessory Management Service     
Stopped  XboxNetApiSvc      Xbox Live Networking Service          


